Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Confidence
	Frame	percent	
	609	94.9577	
	610	95.1731	
	611	94.5797	
	612	94.2182	
	613	93.461	
	614	92.2058	
	615	91.0675	
	616	88.7254	
	617	88.0464	
	618	87.322	
	619	85.0685	
	620	84.3018	
	621	82.1839	
	622	81.4534	
	623	83.7082	
	624	83.5363	
	625	97.8925	
	626	96.0419	
	627	94.876	
	628	92.5629	
	629	92.5801	
	630	89.013	
	631	82.0799	
	632	96.2574	
	633	86.1356	
	634	94.8902	
	635	93.3864	
	636	85.8558	
	637	83.2509	
	638	85.0595	
	639	96.9159	
	640	92.5778	
	641	93.4995	
	642	93.4512	
	643	93.343	
	644	90.9349	
	645	92.6583	
	646	90.9857	
	647	92.6235	
	648	92.6136	
	649	93.0112	
	650	92.0144	
	651	100	
	652	100	
	653	100	
	654	100	
	655	100	
	656	100	
	657	100	
	658	100	
	659	100	
	660	100	
	661	100	
	662	100	
	663	100	
	664	100	
	665	100	
	666	100	
	667	100	
	668	100	
	669	100	
	670	100	
	671	100	
	672	100	
	673	100	
	674	100	
	675	100	
	676	100	
	677	100	
	678	100	
	679	100	
	680	100	
	681	100	
	682	100	
	683	98.0719	
	684	95.9224	
	685	96.2932	
	686	91.4668	
	687	82.6966	
	688	81.0936	
	689	81.4378	
	690	87.0375	
	691	88.9506	
	692	82.2257	
	693	87.6199	
	694	99.0977	
	695	99.0895	
	696	99.5879	
	697	99.621	
	698	99.2656	
	699	99.585	
	700	99.6005	
	701	100	
	702	100	
	703	100	
	704	100	
	705	100	
	706	100	
	707	100	
	708	100	
	709	99.877	
	710	99.7687	
	711	99.6574	
	712	99.5217	
	713	99.2548	
	714	99.2046	
	715	99.092	
	716	98.4395	
	717	97.9965	
	718	98.3445	
	719	98.7278	
	720	98.8946	
	721	98.362	
	722	98.8345	
	723	98.6743	
	724	100	
	725	98.8042	
	726	98.237	
	727	97.9209	
	728	96.0342	
	729	94.1799	
	730	92.7983	
	731	90.5446	
	732	89.7117	
	733	90.4717	
	734	90.1644	
	735	91.1208	
	736	91.6971	
	737	91.6523	
	738	91.7834	
	739	91.9181	
	740	93.3652	
	741	94.2505	
	742	96.3908	
	743	100	
	744	99.386	
	745	98.6515	
	746	98.2715	
	747	100	
	748	99.7287	
	749	99.2682	
	750	98.7877	
	751	99.3437	
	752	99.0794	
	753	98.8808	
	754	98.8702	
	755	98.9973	
	756	98.6874	
	757	98.8183	
	758	98.644	
	759	98.5123	
	760	98.4012	
	761	98.3631	
	762	98.1354	
	763	98.1853	
	764	98.0986	
	765	97.841	
	766	98.0613	
	767	98.2191	
	768	97.6231	
	769	97.6115	
	770	97.3846	
	771	97.4513	
	772	97.4645	
	773	97.3821	
	774	96.8076	
	775	96.4657	
	776	95.8209	
	777	95.896	
	778	95.9505	
	779	95.6394	
	780	95.2892	
	781	94.6462	
	782	94.8592	
	783	92.9304	
	784	93.3839	
	785	93.9006	
	786	93.5191	
	787	93.5845	
	788	94.5081	
	789	94.6984	
	790	94.3798	
	791	93.9487	
	792	94.1155	
	793	94.8737	
	794	94.8141	
	795	94.2487	
	796	94.4992	
	797	94.5744	
	798	94.3165	
	799	94.7714	
	800	94.6018	
	801	94.3521	
	802	95.6528	
	803	94.4931	
	804	94.9651	
	805	94.2229	
	806	95.0166	
	807	94.5809	
	808	95.2693	
	809	94.9709	
	810	91.892	
	811	89.3235	
	812	87.2987	
	813	85.6399	
	814	83.5277	
	815	96.7088	
	816	91.9999	
	817	93.2925	
	818	94.241	
	819	97.1693	
	820	96.2932	
	821	96.2601	
	822	90.4199	
	823	86.3951	
	824	86.4575	
	825	87.068	
	826	87.7753	
	827	88.0013	
	828	87.0778	
	829	86.2967	
	830	85.7917	
	831	86.8291	
	832	87.6705	
	833	88.5791	
	834	88.5654	
	835	89.5446	
	836	91.4267	
	837	91.2076	
	838	91.4557	
	839	91.7072	
	840	91.4556	
	841	89.562	
	842	95.2895	
	843	95.9687	
	844	96.6742	
	845	94.9934	
	846	90.9023	
	847	91.8533	
	848	92.0165	
	849	92.1125	
	850	92.0414	
	851	94.4399	
	852	95.9299	
	853	96.4601	
	854	96.1826	
	855	95.5117	
	856	92.1095	
	857	87.5323	
	858	82.2035	
	859	88.7901	
	860	89.0636	
	861	93.0448	
	862	93.1238	
	863	100	
	864	100	
	865	100	
	866	100	
	867	100	
	868	100	
	869	97.6417	
	870	97.1852	
	871	92.8364	
	872	90.8276	
	873	85.9277	
	874	87.6421	
	875	87.3328	
	876	87.1866	
	877	87.0763	
	878	86.4132	
	879	87.1597	
	880	88.1856	
	881	86.9844	
	882	84.5393	
	883	84.6304	
	884	84.4375	
	885	82.5024	
	886	90.1182	
	887	88.1576	
	888	93.1255	
	889	87.3922	
	890	93.0801	
	891	92.5814	
	892	86.0028	
	893	86.8985	
	894	82.7201	
	895	91.6997	
	896	85.8534	
	897	95.347	
	898	94.4927	
	899	86.5826	
	900	85.1804	
	901	80.3838	
	902	84.0569	
	903	83.9077	
	904	86.8571	
	905	83.1729	
	906	82.3235	
	907	80.5097	
	908	98.2364	
	909	96.5424	
	910	96.4061	
	911	91.6103	
	912	90.5993	
	913	89.7653	
	914	89.0722	
	915	87.4266	
	916	87.9549	
	917	86.0867	
	918	88.2986	
	919	88.7757	
	920	87.4787	
	921	88.9079	
	922	87.129	
	923	86.2212	
	924	83.2432	
	925	85.609	
	926	84.4156	
	927	82.3764	
	928	89.8698	
	929	96.0331	
	930	88.7037	
	931	87.0916	
	932	98.1131	
	933	97.6634	
	934	97.0537	
	935	95.8055	
	936	94.9812	
	937	93.9421	
	938	93.5543	
	939	92.7904	
	940	91.9887	
	941	92.5651	
	942	88.1035	
	943	89.0091	
	944	89.4379	
	945	88.2314	
	946	81.3932	
	947	83.1275	
	948	90.6273	
	949	92.2959	
	950	90.915	
	951	82.6855	
	952	83.6852	
	953	87.06	
	954	87.8223	
	955	86.4836	
	956	86.7952	
	957	84.9403	
	958	85.5759	
	959	84.3696	
	960	84.3945	
	961	85.7428	
	962	85.5277	
	963	84.5449	
	964	83.511	
	965	82.9351	
	966	84.9141	
	967	84.6929	
	968	85.173	
	969	84.6317	
	970	80.9645	
	971	80.1792	
	972	99.303	
	973	98.0738	
	974	95.4301	
	975	91.1527	
	976	90.3105	
	977	83.6951	
	978	85.6905	
	979	85.3854	
	980	85.6598	
	981	86.8367	
	982	88.0549	
	983	91.7692	
	984	94.2804	
	985	94.6803	
	986	95.3591	
	987	96.4267	
	988	96.2784	
	989	96.0537	
	990	96.2454	
	991	96.6136	
	992	96.9332	
