Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #2	Track Point #1	Feature Center
	Frame	X pixels	Y pixels
	4394	829.191	659.754
	4395	830.238	660.262
	4396	831.285	660.512
	4397	832.32	660.793
	4398	833.355	660.895
	4399	834.387	661.016
	4400	835.418	661.309
	4401	836.441	661.547
	4402	837.805	661.82
	4403	838.832	661.895
	4404	839.855	662.074
	4405	840.887	662.352
	4406	841.91	662.57
	4407	842.941	662.848
	4408	843.961	662.895
	4409	844.973	663.137
	4410	845.98	663.395
	4411	846.984	663.629
	4412	847.992	663.887
	4413	849.008	663.898
	4414	850.023	664.191
	4415	851.051	664.445
	4416	852.074	664.699
	4417	853.094	664.895
	4418	854.117	664.91
	4419	855.156	665.238
	4420	856.184	665.484
	4421	857.219	665.754
	4422	858.262	665.895
	4423	859.309	665.953
	4424	860.359	666.281
	4425	861.383	666.527
	4426	862.41	666.797
	4427	863.438	666.895
	4428	864.785	667.023
	4429	865.832	667.359
	4430	866.898	667.566
	4431	867.977	667.82
	4432	869.016	667.895
	4433	870.027	668.078
	4434	871.039	668.363
	4435	872.125	668.148
	4436	873.313	667.895
	4437	874.988	667.891
	4438	876.074	667.734
	4439	877.164	667.543
	4440	878.406	667.34
	4441	880.023	667.074
	4442	881.086	666.895
	4443	882.188	666.895
	4444	883.836	666.672
	4445	885.031	666.473
	4446	886.098	666.297
	4447	887.238	666.027
	4448	888.867	665.895
	4449	890.051	665.852
	4450	891.125	665.664
	4451	892.313	665.465
	4452	893.914	665.258
	4453	895.063	664.996
	4454	896.141	664.895
	4455	897.367	664.836
	4456	898.953	664.582
	4457	900.074	664.395
	4458	901.168	664.227
	4459	902.43	663.813
	4460	904.004	663.895
	4461	905.086	663.809
	4462	906.223	663.578
	4463	907.828	663.367
	4464	909.023	663.172
	4465	910.098	662.781
	4466	911.273	662.895
	4467	912.879	662.746
	4468	914.051	662.527
	4469	915.121	662.355
	4470	916.336	662.148
	4471	917.891	661.77
	4472	919.035	661.895
	4473	920.117	661.77
	4474	921.371	661.535
	4475	922.91	660.543
	4476	924.039	660.625
	4477	925.16	660.77
	4478	926.426	660.883
	4479	927.965	660.684
	4480	929.059	660.492
	4481	930.223	659.57
	4482	931.813	659.629
	4483	933.012	659.719
	4484	934.09	659.852
	4485	935.301	659.664
	4486	936.852	659.441
	4487	938.027	658.535
	4488	939.078	658.605
	4489	940.34	658.711
	4490	941.914	658.797
	4491	943.035	658.59
	4492	944.133	658.422
	4493	945.438	657.527
	4494	946.953	657.559
	4495	948.051	657.672
	4496	949.188	657.77
	4497	950.785	657.551
	4498	951.984	656.465
	4499	953.164	656.531
	4500	954.891	656.633
	4501	956.09	656.625
	4502	957.797	655.488
	4503	959.043	655.52
	4504	960.348	655.66
	4505	962.012	655.563
	4506	963.199	654.5
	4507	964.914	654.527
	4508	966.105	654.66
	4509	967.82	654.531
	4510	969.07	653.473
	4511	970.418	653.52
	4512	972.051	653.613
	4513	973.27	653.492
	4514	974.98	652.473
	4515	976.148	652.512
	4516	977.879	652.59
	4517	979.102	652.449
	4518	980.465	651.5
	4519	982.07	651.496
	4520	983.32	651.578
	4521	985.027	650.453
	4522	986.207	650.477
	4523	987.969	650.496
	4524	989.137	650.539
	4525	990.871	649.461
	4526	992.086	649.434
	4527	993.359	649.441
	4528	995.043	648.516
	4529	996.203	648.469
	4530	997.996	648.395
	4531	999.117	648.395
	4532	1000.84	648.434
	4533	1002.06	647.449
	4534	1003.32	647.457
	4535	1005.03	647.465
	4536	1006.2	647.441
	4537	1007.97	646.441
	4538	1009.11	646.395
	4539	1010.85	646.43
	4540	1012.05	645.484
	4541	1013.32	645.461
	4542	1015.04	645.391
	4543	1016.18	645.422
	4544	1018	644.473
	4545	1019.13	644.453
	4546	1020.97	644.395
	4547	1022.09	644.395
	4548	1023.86	643.488
	4549	1025.06	643.438
	4550	1026.26	643.387
	4551	1028.03	643.305
	4552	1029.13	642.461
	4553	1030.97	642.414
	4554	1032.08	642.395
	4555	1033.41	642.297
	4556	1035.06	641.445
	4557	1036.27	641.426
	4558	1038.04	641.375
	4559	1039.18	641.297
	4560	1040.97	640.457
	4561	1042.11	640.395
	4562	1043.83	640.355
	4563	1045.07	639.582
	4564	1046.34	639.465
	4565	1048.04	639.395
	4566	1049.18	639.375
	4567	1050.9	638.609
	4568	1052.1	638.457
	4569	1053.49	638.418
	4570	1055.05	638.344
	4571	1056.32	637.621
	4572	1057.95	637.469
	4573	1059.03	637.441
	4574	1060.43	637.359
	4575	1061.9	636.617
	4576	1063.28	636.496
	4577	1064.86	636.391
	4578	1066.15	636.289
	4579	1067.84	635.551
	4580	1068.88	635.566
	4581	1069.88	635.594
	4582	1070.89	635.621
	4583	1071.91	636.219
	4584	1072.93	636.238
	4585	1073.96	636.262
	4586	1075	636.277
	4587	1076.03	636.301
	4588	1077.07	636.328
	4589	1078.15	636.355
	4590	1079.23	636.379
	4591	1080.31	636.395
	4592	1081.36	636.414
	4593	1082.41	636.41
	4594	1083.45	636.395
	4595	1084.77	636.379
	4596	1085.81	636.383
	4597	1086.85	636.387
	4598	1087.88	636.391
	4599	1088.89	636.402
	4600	1089.92	636.422
	4601	1090.99	636.438
	4602	1092.07	636.441
	4603	1093.13	636.438
	4604	1094.17	636.438
	4605	1095.22	636.449
	4606	1096.27	636.461
	4607	1097.34	636.469
	4608	1098.4	636.473
	4609	1099.81	636.484
	4610	1100.87	636.504
	4611	1101.92	636.516
	4612	1102.97	636.531
	4613	1104	636.547
	4614	1105.02	636.57
