Adobe After Effects 8.0 Keyframe Data

	Units Per Second	59.94
	Source Width	7680
	Source Height	3840
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Spider	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	11578	5335.14	200.066	
	11579	5291.77	204.941	
	11580	5248	209.715	
	11581	5204.29	214.574	
	11582	5160.56	219.574	
	11583	5116.71	224.664	
	11584	5072.76	229.871	
	11585	5028.77	235.148	
	11586	4984.69	240.609	
	11587	4940.55	246.125	
	11588	4896.38	251.773	
	11589	4852.21	257.574	
	11590	4808.11	263.484	
	11591	4763.99	269.508	
	11592	4719.88	275.617	
	11593	4675.81	281.902	
	11594	4631.79	288.301	
	11595	4587.79	294.828	
	11596	4543.88	301.531	
	11597	4500.04	308.391	
	11598	4456.3	315.375	
	11599	4412.71	322.516	
	11600	4369.04	329.816	
	11601	4325.71	337.328	
	11602	4282.32	345.031	
	11603	4239.15	352.844	
	11604	4196.14	360.926	
	11605	4153.32	369.188	
	11606	4110.73	377.629	
	11607	4068.19	386.375	
	11608	4025.95	395.32	
	11609	3983.92	404.527	
	11610	3942.14	414.039	
	11611	3900.72	423.742	
	11612	3859.43	433.828	
	11613	3818.5	444.254	
	11614	3777.81	455.098	
	11615	3737.61	466.207	
	11616	3697.7	477.789	
	11617	3658.07	489.898	
	11618	3619	502.508	
	11619	3580.41	515.648	
	11620	3542.31	529.512	
	11621	3504.8	544.137	
	11622	3467.98	559.531	
	11623	3431.92	576	
	11624	3396.8	593.574	
	11625	3362.8	612.621	
	11626	3330.27	633.449	
	11627	3299.75	656.398	
	11628	3271.87	682.133	
	11629	3248.32	711.191	
	11630	3231.44	744.137	
	11631	3224.3	779.137	
	11632	3228.77	814.137	
	11633	3242.51	847.199	
	11634	3262.42	876.543	
	11635	3285.99	902.586	
	11636	3311.86	926	
	11637	3338.96	947.059	
	11638	3366.92	966.254	
	11639	3395.32	984.086	
	11640	3423.93	1000.53	
	11641	3452.75	1016.07	
	11642	3481.27	1030.49	
	11643	3509.85	1044.22	
	11644	3538.1	1057.16	
	11645	3566.16	1069.44	
	11646	3593.93	1081.14	
	11647	3621.39	1092.22	
	11648	3648.46	1102.94	
	11649	3675.02	1113.06	
	11650	3701.24	1122.66	
	11651	3727.01	1132.04	
	11652	3752.34	1140.92	
	11653	3777.11	1149.34	
	11654	3801.48	1157.45	
	11655	3825.16	1165.31	
	11656	3848.45	1172.89	
	11657	3871.04	1180.07	
	11658	3893.14	1187	
	11659	3914.79	1193.46	
	11660	3935.69	1199.79	
	11661	3955.86	1205.89	
	11662	3975.61	1211.62	
	11663	3994.63	1217.31	
	11664	4012.9	1222.49	
	11665	4030.74	1227.54	
	11666	4047.75	1232.45	
	11667	4063.94	1237.1	
	11668	4079.75	1241.44	
	11669	4094.66	1245.53	
	11670	4108.84	1249.49	
	11671	4122.17	1253.36	
	11672	4134.93	1256.8	
	11673	4146.91	1260.21	
	11674	4158.09	1263.34	
	11675	4168.7	1266.25	
	11676	4178.17	1268.93	
	11677	4187.02	1271.45	
	11678	4195.05	1273.79	
	11679	4202.29	1276	
	11680	4208.8	1278.01	
	11681	4214.16	1279.79	
	11682	4218.87	1281.48	
	11683	4222.7	1283.21	
	11684	4223.93	1285.31	
	11685	4221.83	1285.52	
	11686	4220.36	1285.54	
	11687	4219.86	1285.55	
	11688	4219.86	1285.55	
	11689	4219.86	1285.55	
	11690	4219.86	1285.55	
	11691	4219.86	1285.55	
	11692	4219.86	1285.55	
	11693	4219.86	1285.55	
	11694	4219.86	1285.55	
	11695	4219.86	1285.55	
	11696	4219.86	1285.55	
	11697	4219.86	1285.55	
	11698	4219.86	1285.55	
	11699	4219.86	1285.55	
	11700	4219.86	1285.55	
	11701	4219.86	1285.55	
	11702	4219.86	1285.55	
	11703	4219.86	1285.55	
	11704	4219.86	1285.55	
	11705	4219.86	1285.55	
	11706	4219.86	1285.55	
	11707	4219.86	1285.55	
	11708	4219.86	1285.55	
	11709	4219.86	1285.55	
	11710	4219.86	1285.55	
	11711	4219.86	1285.55	
	11712	4219.86	1285.55	
	11713	4219.86	1285.55	
	11714	4219.86	1285.55	
	11715	4219.86	1285.55	
	11716	4219.86	1285.55	
	11717	4219.86	1285.55	
	11718	4219.86	1285.55	
	11719	4219.86	1285.55	
	11720	4219.86	1285.55	
	11721	4219.86	1285.55	
	11722	4219.86	1285.55	
	11723	4219.86	1285.55	
	11724	4219.86	1285.55	
	11725	4219.86	1285.55	
	11726	4219.86	1285.55	
	11727	4219.86	1285.55	
	11728	4219.86	1285.55	
	11729	4219.86	1285.55	
	11730	4219.86	1285.55	
	11731	4219.86	1285.55	
	11732	4219.86	1285.55	
	11733	4219.86	1285.55	
	11734	4219.86	1285.55	
	11735	4219.86	1285.55	
	11736	4219.86	1285.55	
	11737	4219.86	1285.55	
	11738	4219.86	1285.55	
	11739	4219.86	1285.55	
	11740	4219.86	1285.55	
	11741	4219.86	1285.55	
	11742	4219.86	1285.55	
	11743	4219.86	1285.55	
	11744	4219.86	1285.55	
	11745	4219.86	1285.55	
	11746	4219.86	1285.55	
	11747	4219.86	1285.55	
	11748	4219.86	1285.55	
	11749	4219.86	1285.55	
	11750	4219.86	1285.55	
	11751	4219.86	1285.55	
	11752	4219.86	1285.55	
	11753	4219.86	1285.55	
	11754	4219.86	1285.55	
	11755	4219.86	1285.55	
	11756	4219.86	1285.55	
	11757	4219.86	1285.55	
	11758	4219.86	1285.55	
	11759	4219.86	1285.55	
	11760	4219.86	1285.55	
	11761	4219.86	1285.55	
	11762	4219.86	1285.55	
	11763	4219.86	1285.55	
	11764	4219.86	1285.55	
	11765	4219.86	1285.55	
	11766	4219.86	1285.55	
	11767	4219.86	1285.55	
	11768	4219.86	1285.55	
	11769	4219.86	1285.55	
	11770	4219.86	1285.55	
	11771	4219.86	1285.55	
	11772	4219.86	1285.55	
	11773	4219.86	1285.55	
	11774	4219.86	1285.55	
	11775	4219.86	1285.55	
	11776	4219.86	1285.55	
	11777	4219.86	1285.55	
