---,ra,dec,dist,mag,spect,ci,x,y,z,lum,proper,hip,bf,gl
27868,0.706453,4.166573,59.987999,7.59,F8V,0.515,58.80917,11.002434,4.358513,8.879735,,3326,,
27869,0.799092,-29.343868,126.903603,7.59,F0IV,0.313,108.20932,22.973761,-62.18914,2.884032,,3733,,
27870,0.816833,-36.263535,150.602402,7.59,K0III,0.972,118.665482,25.770166,-89.081337,12.906248,,3811,,
27871,0.84109,59.671749,100000,7.59,B5Ib,0.309,49276.09375,11029.26563,86314.67188,18.180256,,3932,,
27872,0.918597,23.416245,77.760498,7.59,F5V,0.481,69.30278,16.995409,30.902643,8016780.5,,4301,,
27873,0.920781,64.545792,94.428703,7.59,A3,0.293,39.411003,9.688783,85.262413,4.848417,,4318,,
27874,1.107502,-9.766697,174.520096,7.59,A2,0.106,164.811844,49.171806,-29.605015,7.151547,,5197,,
27875,1.11413,-81.648842,302.114807,7.59,K2III,1.341,42.025452,12.618718,-298.911316,24.411812,,5228,,
27876,1.207957,23.25568,155.520996,7.59,F0,0.36,135.799667,44.436962,61.405125,73.181282,,5640,,
27877,1.304283,2.550613,154.559494,7.59,A5,0.321,145.491974,51.705067,6.878192,19.390991,,6096,,
27878,1.435066,-2.200951,248.139008,7.59,G0,0.9,230.661316,90.980782,-9.529629,19.142559,,6700,,
27879,1.542573,11.882579,280.898895,7.59,K5,1.536,252.767563,108.015785,57.838955,49.340096,,7184,,
27880,1.632502,9.763567,196.850403,7.59,F5,0.428,176.549271,80.411736,33.382454,63.270317,,7604,,
27881,1.684572,13.773447,112.9944,7.59,K0,1.129,99.244438,46.846069,26.902088,31.074203,,7859,,
27882,2.15315,45.840767,107.181099,7.59,F5,0.478,63.116131,39.896107,76.89241,10.23293,,10038,,
27883,2.22466,59.195999,416.666687,7.59,G5II,1.172,178.198273,117.366035,357.885132,9.212977,,10354,,
27884,2.461762,-33.896564,51.2295,7.59,F7V,0.537,33.993065,25.547258,-28.570454,139.187424,,11448,,
27885,2.536714,6.717312,175.131302,7.59,K0,1.072,136.963165,107.202705,20.48525,2.104748,,11798,,
27886,2.569604,42.785255,32.185398,7.59,G0,0.677,18.474676,14.718824,21.862114,24.592348,,11949,,
27887,2.614826,-35.319916,201.207199,7.59,K0III,1.057,127.183861,103.81147,-116.32618,0.830233,,12176,,
27888,2.624412,64.113403,93.633003,7.59,F8,0.533,31.604147,25.928736,84.237862,32.448902,,12231,,
27889,2.654654,-60.547447,313.479614,7.59,K0III,1.049,118.388206,98.706573,-272.966492,7.027486,,12372,,
27890,2.671565,34.584846,102.986603,7.59,G5,0.909,64.881027,54.583591,58.457874,78.7771,,12450,,
27891,2.699716,0.550355,161.290298,7.59,F0,0.367,122.648247,104.73571,1.549252,8.503545,,12598,,
27892,2.952664,3.678703,194.552505,7.59,F5,0.418,138.976669,135.574112,12.482757,20.854511,,13762,,
27893,3.093071,44.409832,185.528793,7.59,A0,0.081,91.403946,95.970329,129.830429,30.338911,,14385,,
27894,3.113265,45.750786,170.357803,7.59,B9...,0.039,81.526276,86.510628,122.029175,27.593069,,14472,,
27895,3.170706,21.27194,309.597504,7.59,K0,1.029,194.685608,212.913727,112.320396,23.270193,,14727,,
27896,3.260689,61.127945,234.192001,7.59,B5III,0.027,74.321121,85.226921,205.081772,76.842239,,15180,,
27897,3.382702,71.280472,118.906097,7.59,F0,0.309,24.149597,29.547853,112.616081,43.974407,,15754,,
27898,3.44004,-15.363209,137.551605,7.59,A1V,0.063,82.385651,103.94706,-36.442509,11.334438,,16030,,
27899,3.560533,-7.415008,166.389404,7.59,A5,0.378,98.357407,132.476959,-21.473442,15.163519,,16596,,
27900,3.681015,-12.615779,84.817596,7.59,F3/F5IV/V,0.403,47.219795,67.97892,-18.525181,22.202404,,17191,,
27901,3.768409,10.548832,170.067993,7.59,G8III,1.059,92.21682,139.46257,31.134945,5.765009,,17591,,
27902,3.807183,-13.306712,246.305405,7.59,K0III,1.135,130.167664,201.26825,-56.690575,23.184622,,17787,,
27903,3.877719,-44.946838,271.002686,7.59,K3III,1.267,101.170456,162.95372,-191.449951,48.618324,,18139,,
27904,3.972569,1.445857,361.010803,7.59,K5,1.637,182.687943,311.241333,9.109133,58.884365,,18560,,
27905,4.098292,61.794441,100000,7.59,R8v,2.045,22570.82813,41525.99609,88125.75781,104.520142,,19115,,
27906,4.324601,11.966178,129.366104,7.59,F5,0.508,53.746532,114.575203,26.822023,8016780.5,,20174,,
27907,4.846693,31.565859,236.966797,7.59,K0,1.552,60.040115,192.771362,124.046974,13.415288,,22523,,
27908,4.87281,-3.172925,133.155807,7.59,A0,0.124,38.666775,127.204674,-7.370132,44.998703,,22652,,
27909,5.010969,-70.623985,116.143997,7.59,F0/F2IV/V,0.345,9.866088,37.248169,-109.565796,14.21674,,23294,,
27910,5.088922,7.562494,719.4245,7.59,B9,-0.05,168.495941,692.976257,94.681671,10.81434,,23673,,
27911,5.102831,-1.243946,224.719101,7.59,G5,0.959,52.285328,218.497406,-4.878481,414.954041,,23740,,
27912,5.199248,-10.961002,176.366806,7.59,A0,0.001,36.033092,169.35849,-33.534527,40.476223,,24212,,
27913,5.269837,1.756971,242.718399,7.59,K0,1.203,46.093403,238.185303,7.441777,24.934462,,24563,,
